k,nc,umap_n_components,NMI,embedding
16,6,8,0.7946629090780877,fasttext
22,6,8,0.7946629090780877,fasttext
15,6,8,0.8285167639981971,fasttext
10,6,8,0.7091756422299625,fasttext
7,6,4,0.7091756422299625,fasttext
27,6,8,0.8128479376647674,fasttext
15,6,8,0.8285167639981971,fasttext
9,6,8,0.7091756422299625,fasttext
12,6,8,0.6983289157438131,fasttext
18,6,8,0.7946629090780877,fasttext
21,6,4,0.7960865733415787,fasttext
8,6,2,0.7180358807234448,fasttext
14,6,8,0.8285167639981971,fasttext
11,6,8,0.7091756422299625,fasttext
18,6,4,0.828516763998197,fasttext
5,6,2,0.7180358807234448,fasttext
15,6,8,0.8285167639981971,fasttext
16,6,8,0.7946629090780877,fasttext
19,6,8,0.7946629090780877,fasttext
9,6,8,0.7091756422299625,fasttext
25,6,8,0.7946629090780878,fasttext
21,6,8,0.7946629090780877,fasttext
32,6,2,0.7964216244703238,fasttext
29,6,8,0.7946629090780877,fasttext
14,6,8,0.8285167639981971,fasttext
11,6,4,0.6983289157438131,fasttext
17,6,8,0.7946629090780877,fasttext
15,6,8,0.8285167639981971,fasttext
7,6,8,0.7091756422299625,fasttext
14,6,8,0.8285167639981971,fasttext
20,6,8,0.7946629090780877,fasttext
12,6,8,0.6983289157438131,fasttext
16,6,8,0.7946629090780877,fasttext
10,6,2,0.7180358807234448,fasttext
13,6,8,0.8285167639981971,fasttext
40,6,8,0.7946629090780877,fasttext
14,6,8,0.8285167639981971,fasttext
18,6,8,0.7946629090780877,fasttext
23,6,8,0.7946629090780877,fasttext
8,6,8,0.7091756422299625,fasttext
11,6,8,0.7091756422299625,fasttext
50,6,16,0.8108996581302499,fasttext
13,6,4,0.6983289157438131,fasttext
17,6,8,0.7946629090780877,fasttext
15,6,8,0.8285167639981971,fasttext
12,6,8,0.6983289157438131,fasttext
16,6,8,0.7946629090780877,fasttext
15,6,8,0.8285167639981971,fasttext
19,6,8,0.7946629090780877,fasttext
14,6,8,0.8285167639981971,fasttext
9,6,8,0.7091756422299625,fasttext
11,6,2,0.7180358807234448,fasttext
17,6,8,0.7946629090780877,fasttext
20,6,16,0.7990423643662443,fasttext
6,6,8,0.7091756422299625,fasttext
13,6,8,0.8285167639981971,fasttext
15,6,8,0.8285167639981971,fasttext
14,6,8,0.8285167639981971,fasttext
12,6,8,0.6983289157438131,fasttext
10,6,4,0.6983289157438131,fasttext
18,6,8,0.7946629090780877,fasttext
8,6,8,0.7091756422299625,fasttext
47,6,8,0.8125876845364016,fasttext
13,6,8,0.8285167639981971,fasttext
16,6,8,0.7946629090780877,fasttext
21,6,8,0.7946629090780877,fasttext
15,6,8,0.8285167639981971,fasttext
14,6,8,0.8285167639981971,fasttext
17,6,8,0.7946629090780877,fasttext
10,6,2,0.7180358807234448,fasttext
15,6,8,0.8285167639981971,fasttext
12,6,8,0.6983289157438131,fasttext
11,6,16,0.6888579964855388,fasttext
36,6,8,0.7946629090780877,fasttext
14,6,8,0.8285167639981971,fasttext
18,6,4,0.828516763998197,fasttext
13,6,8,0.8285167639981971,fasttext
16,6,8,0.7946629090780877,fasttext
14,6,8,0.8285167639981971,fasttext
12,6,8,0.6983289157438131,fasttext
