perplexity,MinPts,probability,umap_n_components,NMI,embedding
25,4,0.9970739060855174,4,0.6175806812838589,BERT
23,5,0.9970773251627286,8,0.6502871924573216,BERT
23,5,0.9970637367081779,8,0.6502871924573216,BERT
22,6,0.9970838429814153,8,0.6437851548280594,BERT
24,5,0.9970660354745329,8,0.6293122097243788,BERT
23,7,0.9970724089323747,8,0.6502871924573216,BERT
22,4,0.9970798687737694,8,0.6437851548280594,BERT
23,6,0.9970691724247647,8,0.6502871924573216,BERT
21,4,0.9970740277719117,16,0.6267667365499915,BERT
23,5,0.997067198994969,8,0.6502871924573216,BERT
26,14,0.9970132847957347,16,0.7173056817382758,word2vec
26,21,0.9970677538855008,16,0.7095744181859944,word2vec
15,26,0.9970075282272041,4,0.59632924062349,word2vec
29,6,0.9970357894361281,2,0.6351026110839886,word2vec
2,6,0.9970581519836991,2,0.16752134086594545,word2vec
17,20,0.9970407754908649,16,0.6554783020563144,word2vec
29,28,0.9970479068736804,16,0.7095744181859944,word2vec
1,3,0.997010371132549,4,0.0,word2vec
21,8,0.9970522739625177,16,0.7214785901030983,word2vec
23,17,0.997073870598895,8,0.7155004017024937,word2vec
11,10,0.9970941163071392,8,0.5795092687287077,word2vec
21,12,0.9970288239596229,16,0.7137409965339249,word2vec
20,12,0.997020807740365,16,0.7130032424878388,word2vec
11,1,0.9970225341985608,16,0.6406628269533331,word2vec
25,9,0.9970020487446752,16,0.7211118847088847,word2vec
17,8,0.9970009246478488,16,0.6965846352277839,word2vec
25,17,0.9970336978822474,4,0.7061205552553311,word2vec
12,5,0.9970480764554283,2,0.6539158330821474,word2vec
6,10,0.997000918725833,8,0.4219697922642251,word2vec
21,1,0.9970229606594069,16,0.7214785901030983,word2vec
20,1,0.997025477492763,16,0.720689914385125,word2vec
22,8,0.9970173418213991,16,0.7214785901030983,word2vec
22,3,0.9970149808297222,16,0.7214785901030983,word2vec
17,5,0.9970404177423084,16,0.6962818079802939,word2vec
14,7,0.9970183648807669,16,0.6936171151582192,word2vec
19,3,0.9970289342013489,16,0.6978274757169711,word2vec
23,14,0.9970170114007952,2,0.6373757640908874,word2vec
18,4,0.9970297890794185,4,0.6956800826971327,word2vec
23,12,0.9970401186478973,8,0.7163048297582052,word2vec
28,15,0.9970137874695864,16,0.7165057436420088,word2vec
27,8,0.9970229427443692,16,0.7250575945223628,word2vec
27,8,0.99702193415457,16,0.7250575945223628,word2vec
27,11,0.9970076663107702,16,0.7173056817382758,word2vec
26,1,0.9970235737427734,16,0.7250575945223628,word2vec
30,19,0.9970347454204582,16,0.7136449530664721,word2vec
26,23,0.9970100398554792,16,0.7095744181859944,word2vec
25,14,0.9970533817067755,2,0.6323685326357671,word2vec
30,7,0.9970249282372731,16,0.7250575945223628,word2vec
30,7,0.9970260935318751,4,0.7146618319483671,word2vec
27,6,0.9970228919315651,16,0.7250575945223628,word2vec
