min_cluster_size,min_samples,umap_n_components,NMI,embedding
58,147,8,0.5550487522823403,tfidf
41,152,8,0.555602693514915,tfidf
32,167,4,0.31207827082394024,tfidf
53,162,8,0.5523965210157783,tfidf
49,156,8,0.5545881962899356,tfidf
44,143,8,0.5215913164306789,tfidf
39,151,8,0.5565647625440086,tfidf
38,149,8,0.556376225153383,tfidf
40,119,8,0.5340943552880201,tfidf
35,150,8,0.5574932340359003,tfidf
31,131,8,0.5215830507984707,tfidf
48,138,16,0.5042736750639842,tfidf
29,104,8,0.5262115258785092,tfidf
35,150,8,0.5574932340359003,tfidf
34,154,8,0.5537414128208195,tfidf
45,140,8,0.5214705656188602,tfidf
52,150,8,0.5574932340359003,tfidf
52,144,8,0.5537110715479183,tfidf
42,159,8,0.5551631260145696,tfidf
59,153,8,0.5536977367046457,tfidf
54,165,8,0.5497440078124013,tfidf
35,177,8,0.5538952908415555,tfidf
47,168,2,0.23306014577399062,tfidf
39,151,8,0.5565647625440086,tfidf
39,145,8,0.5540569449351501,tfidf
50,152,8,0.555602693514915,tfidf
43,157,8,0.5554169806279728,tfidf
37,161,8,0.5544074481652886,tfidf
28,149,8,0.556376225153383,tfidf
47,171,8,0.5578778784642895,tfidf
56,172,8,0.5551283381970127,tfidf
62,179,4,0.312069263157075,tfidf
47,184,8,0.5463114831243456,tfidf
51,170,8,0.5521009804027781,tfidf
41,163,8,0.5522307284006769,tfidf
33,146,8,0.5542054468385337,tfidf
45,156,8,0.5545881962899356,tfidf
37,136,8,0.5181190564671678,tfidf
41,151,8,0.5565647625440086,tfidf
54,141,8,0.520443606883357,tfidf
49,166,16,0.31342793311424805,tfidf
33,174,8,0.5529284593601755,tfidf
46,158,8,0.5559390879661331,tfidf
21,149,8,0.556376225153383,tfidf
42,150,8,0.5574932340359003,tfidf
39,154,8,0.5537414128208195,tfidf
160,143,8,0.5215913164306789,tfidf
44,162,8,0.5523965210157783,tfidf
28,148,8,0.5557342174979109,tfidf
36,169,8,0.5549378795177361,tfidf
57,152,8,0.555602693514915,tfidf
51,158,8,0.5559390879661331,tfidf
41,123,2,0.4898568444740042,tfidf
131,145,8,0.5247182962383266,tfidf
44,151,8,0.5565647625440086,tfidf
41,155,8,0.5527459502988529,tfidf
48,150,8,0.5574932340359003,tfidf
48,139,8,0.5195204945423099,tfidf
33,161,8,0.5544074481652886,tfidf
53,147,8,0.5550487522823403,tfidf
48,175,8,0.5547931364145591,tfidf
37,133,8,0.5209929234825319,tfidf
30,142,4,0.3155522745457843,tfidf
61,164,8,0.5366400077696184,tfidf
43,151,8,0.5565647625440086,tfidf
40,151,8,0.5565647625440086,tfidf
51,146,8,0.5542054468385337,tfidf
46,155,8,0.5527459502988529,tfidf
36,179,8,0.5536925294663029,tfidf
56,150,8,0.5574932340359003,tfidf
57,171,8,0.5578778784642895,tfidf
68,172,8,0.5551283381970127,tfidf
56,169,8,0.5549378795177361,tfidf
63,176,8,0.5544941429634995,tfidf
58,46,8,0.5439498302150343,tfidf
52,159,8,0.5551631260145696,tfidf
47,166,8,0.5532705960560469,tfidf
53,146,16,0.31535822462649743,tfidf
44,155,8,0.5527459502988529,tfidf
58,181,8,0.5308609630734338,tfidf
50,93,8,0.5120605443891849,tfidf
103,150,8,0.5318278930534078,tfidf
73,141,8,0.520443606883357,tfidf
9,54,16,0.2519123888740483,fasttext
155,72,4,0.2539934889520036,fasttext
64,181,2,0.008509468744222776,fasttext
118,65,2,0.008509468744222776,fasttext
135,186,4,0.009170508283190989,fasttext
84,54,4,0.25237076315686,fasttext
7,54,4,0.25237076315686,fasttext
10,182,2,0.008509468744222776,fasttext
192,75,16,0.25191238887404827,fasttext
150,186,8,0.008696284674347453,fasttext
190,16,8,0.252276079015841,fasttext
78,121,4,0.009170508283190989,fasttext
90,114,4,0.25755541927352565,fasttext
49,125,4,0.009170508283190989,fasttext
151,137,4,0.009170508283190989,fasttext
108,95,4,0.25695394834558544,fasttext
106,101,4,0.25601581375846444,fasttext
42,146,16,0.008696284674347453,fasttext
120,99,8,0.25227607901584104,fasttext
86,158,4,0.009170508283190989,fasttext
103,97,4,0.25601581375846444,fasttext
107,110,4,0.25678155876373926,fasttext
126,110,4,0.25678155876373926,fasttext
94,87,4,0.2545131238696317,fasttext
68,26,4,0.2517409899839278,fasttext
108,124,4,0.009170508283190989,fasttext
134,155,2,0.008509468744222776,fasttext
173,113,16,0.25191238887404827,fasttext
48,85,4,0.2554472917579145,fasttext
27,131,8,0.25227607901584104,fasttext
68,166,16,0.008696284674347453,fasttext
121,111,4,0.25678155876373926,fasttext
135,105,4,0.25601581375846444,fasttext
95,87,4,0.2545131238696317,fasttext
115,142,4,0.009170508283190989,fasttext
139,75,2,0.008509468744222776,fasttext
129,116,4,0.25755541927352565,fasttext
89,36,4,0.2517409899839278,fasttext
164,91,4,0.25306302349161935,fasttext
75,64,2,0.008509468744222776,fasttext
111,116,4,0.25755541927352565,fasttext
110,119,4,0.009170508283190989,fasttext
128,135,4,0.009170508283190989,fasttext
101,112,4,0.25678155876373926,fasttext
142,127,4,0.009170508283190989,fasttext
114,80,8,0.252276079015841,fasttext
77,97,4,0.25601581375846444,fasttext
98,67,16,0.2519123888740483,fasttext
124,117,4,0.009170508283190989,fasttext
58,146,4,0.009170508283190989,fasttext
145,105,2,0.008509468744222776,fasttext
130,107,4,0.25695394834558544,fasttext
159,93,4,0.25601581375846444,fasttext
132,130,4,0.009170508283190989,fasttext
86,106,4,0.25174098998392774,fasttext
111,119,4,0.009170508283190989,fasttext
119,98,8,0.25227607901584104,fasttext
103,81,4,0.25237076315686,fasttext
92,139,4,0.009170508283190989,fasttext
148,123,16,0.25191238887404827,fasttext
129,115,4,0.25755541927352565,fasttext
115,106,4,0.25174098998392774,fasttext
129,114,4,0.25755541927352565,fasttext
129,117,4,0.009170508283190989,fasttext
139,129,4,0.009170508283190989,fasttext
121,102,4,0.25601581375846444,fasttext
158,93,4,0.25601581375846444,fasttext
127,150,4,0.009170508283190989,fasttext
175,173,8,0.008696284674347453,fasttext
82,111,4,0.25678155876373926,fasttext
151,136,2,0.008509468744222776,fasttext
103,115,4,0.25755541927352565,fasttext
105,115,4,0.25755541927352565,fasttext
106,115,4,0.25755541927352565,fasttext
97,122,4,0.009170508283190989,fasttext
106,115,4,0.25755541927352565,fasttext
