n_clusters,epsilon,umap_n_components,NMI,embedding
4,0.21749113178339996,16,0.0,tfidf
4,0.8387700974451697,4,0.0,tfidf
4,0.5807358332099466,16,0.0,tfidf
4,0.022649718130598462,8,0.0,tfidf
4,0.7142716608506202,2,0.0,tfidf
4,0.04343658662902985,16,0.0,tfidf
4,0.8775624673975781,2,0.0,tfidf
4,0.428143031429383,16,0.0,tfidf
4,0.4325954241006596,16,0.0,tfidf
4,0.5113794000764734,8,0.0,tfidf
4,0.24845403477306613,4,0.0,tfidf
4,0.9591929137956072,4,0.0,tfidf
4,0.7715865552096822,4,0.0,tfidf
4,0.9729944002717517,4,0.0,tfidf
4,0.2773885757428318,16,0.0,tfidf
4,0.6743398694207963,4,0.0,tfidf
4,0.8763494020981288,2,0.0,tfidf
4,0.7915355505146886,8,0.0,tfidf
4,0.6361445689123962,16,0.0,tfidf
4,0.5677283673930011,4,0.0,tfidf
4,0.29486747857630446,16,0.0,tfidf
4,0.6120009479260621,16,0.0,tfidf
4,0.5513594183438553,16,0.0,tfidf
4,0.4624797719552016,16,0.0,tfidf
4,0.7031918553768652,16,0.0,tfidf
4,0.601766230073165,4,0.0,tfidf
4,0.8072229609112586,2,0.0,tfidf
4,0.3552014308756962,8,0.0,tfidf
4,0.1721672456605901,16,0.0,tfidf
4,0.37626647785651235,8,0.0,tfidf
4,0.5054738511902235,4,0.0,tfidf
4,0.012736021582375023,8,0.0,tfidf
4,0.08772899124927816,8,0.0,tfidf
4,0.09925844666094048,2,0.0,tfidf
4,0.1740306784475833,8,0.0,tfidf
4,0.018429972113100712,16,0.0,tfidf
4,0.7396015789643181,16,0.0,tfidf
4,0.6792972647940472,8,0.0,tfidf
4,0.08613978907701268,2,0.0,tfidf
4,0.46562703724360655,16,0.0,tfidf
4,0.21002485156399842,4,0.0,tfidf
4,0.8453329976742108,2,0.0,tfidf
4,0.7139817113821527,2,0.0,tfidf
4,0.9099665427614182,2,0.0,tfidf
4,0.7696275968771356,4,0.0,tfidf
4,0.6705733863347523,2,0.0,tfidf
4,0.5439328657627842,8,0.0,tfidf
