k,nc,tsne_n_components,NMI,embedding
25,6,2,0.652674517564485,fasttext
38,6,2,0.7362399401351261,fasttext
42,6,2,0.6787843646970046,fasttext
27,6,8,0.5357777964660473,fasttext
21,6,16,0.0875411264251433,fasttext
33,6,2,0.7374498089371988,fasttext
17,6,8,0.6718385099266074,fasttext
24,6,4,0.7153343309531873,fasttext
33,6,2,0.7374498089371988,fasttext
29,6,2,0.7438948325258568,fasttext
37,6,2,0.7382536350883594,fasttext
38,6,2,0.7362399401351261,fasttext
28,6,16,0.14368498292721968,fasttext
37,6,8,0.5457255427707802,fasttext
44,6,2,0.6830958066259535,fasttext
30,6,16,0.16005742947314622,fasttext
14,6,2,0.7592191538987012,fasttext
12,6,2,0.6732759363800348,fasttext
8,6,2,0.7651817087214157,fasttext
8,6,2,0.7651817087214157,fasttext
7,6,2,0.740176917321562,fasttext
9,6,2,0.740427925199814,fasttext
14,6,4,0.6608052930809649,fasttext
7,6,2,0.740176917321562,fasttext
14,6,8,0.5276586497460056,fasttext
5,6,16,0.2819525532465615,fasttext
10,6,4,0.5445938764105056,fasttext
15,6,2,0.7010901469328842,fasttext
11,6,2,0.6227687721389835,fasttext
8,6,2,0.7651817087214157,fasttext
8,6,2,0.7651817087214157,fasttext
7,6,2,0.740176917321562,fasttext
9,6,2,0.740427925199814,fasttext
19,6,4,0.6544829605991599,fasttext
7,6,2,0.740176917321562,fasttext
13,6,2,0.7123932482891019,fasttext
9,6,4,0.5710375075128706,fasttext
11,6,2,0.6227687721389835,fasttext
16,6,2,0.6771852724204143,fasttext
6,6,2,0.6132965637904045,fasttext
9,6,2,0.740427925199814,fasttext
18,6,2,0.7377930151472331,fasttext
23,6,2,0.7149968187407754,fasttext
11,6,2,0.6227687721389835,fasttext
13,6,8,0.487159880301953,fasttext
27,6,4,0.5850717481349507,fasttext
7,6,2,0.740176917321562,fasttext
5,6,2,0.5257430363531124,fasttext
29,6,2,0.7438948325258568,fasttext
29,6,2,0.7438948325258568,fasttext
26,6,2,0.6507816313182296,fasttext
20,6,16,0.10439661453771898,fasttext
31,6,2,0.7363403311587462,fasttext
8,6,2,0.7651817087214157,fasttext
8,6,2,0.7651817087214157,fasttext
10,6,4,0.5445938764105056,fasttext
8,6,2,0.7651817087214157,fasttext
8,6,2,0.7651817087214157,fasttext
8,6,2,0.7651817087214157,fasttext
8,6,2,0.7651817087214157,fasttext
8,6,2,0.7651817087214157,fasttext
6,6,2,0.6132965637904045,fasttext
10,6,2,0.6333659133127386,fasttext
5,6,2,0.5257430363531124,fasttext
12,6,2,0.6732759363800348,fasttext
8,6,2,0.7651817087214157,fasttext
6,6,2,0.6132965637904045,fasttext
8,6,8,0.0443015186108902,fasttext
8,6,2,0.7651817087214157,fasttext
10,6,2,0.6333659133127386,fasttext
11,6,2,0.6227687721389835,fasttext
6,6,2,0.6132965637904045,fasttext
8,6,2,0.7651817087214157,fasttext
12,6,16,0.3419973452704036,fasttext
9,6,2,0.740427925199814,fasttext
13,6,2,0.7123932482891019,fasttext
5,6,2,0.5257430363531124,fasttext
10,6,2,0.6333659133127386,fasttext
8,6,2,0.7651817087214157,fasttext
