min_cluster_size,min_samples,umap_n_components,NMI,embedding
106,157,16,0.7766720606197566,fasttext
145,69,4,0.7754219867303539,fasttext
113,51,16,0.7766720606197566,fasttext
98,29,4,0.7754219867303539,fasttext
168,132,2,0.7765273283031227,fasttext
143,190,16,0.7766720606197566,fasttext
43,176,16,0.7766720606197566,fasttext
78,79,8,0.7766720606197566,fasttext
19,95,8,0.7766720606197566,fasttext
7,119,8,0.7766720606197566,fasttext
35,78,8,0.7766720606197566,fasttext
58,63,8,0.7766720606197566,fasttext
122,112,8,0.7766720606197566,fasttext
14,45,2,0.7765273283031227,fasttext
105,60,4,0.7754219867303539,fasttext
52,91,16,0.7766720606197566,fasttext
34,104,8,0.7766720606197566,fasttext
88,34,16,0.7766720606197566,fasttext
49,18,8,0.7766720606197566,fasttext
64,37,8,0.7766720606197566,fasttext
41,55,8,0.7766720606197566,fasttext
122,43,8,0.7766720606197566,fasttext
78,69,16,0.7766720606197566,fasttext
28,9,8,0.7012350599630208,fasttext
65,18,16,0.7766720606197566,fasttext
48,80,2,0.7765273283031227,fasttext
92,47,8,0.7766720606197566,fasttext
14,33,16,0.7766720606197566,fasttext
128,58,16,0.7766720606197566,fasttext
136,64,16,0.7766720606197566,fasttext
114,73,16,0.7766720606197566,fasttext
133,84,16,0.7766720606197566,fasttext
151,108,16,0.7766720606197566,fasttext
101,50,4,0.7754219867303539,fasttext
142,40,16,0.7766720606197566,fasttext
178,29,8,0.7766720606197566,fasttext
110,98,16,0.7766720606197566,fasttext
80,16,2,0.7765273283031227,fasttext
11,93,8,0.7766720606197566,fasttext
7,123,8,0.7766720606197566,fasttext
26,112,8,0.7766720606197566,fasttext
122,66,8,0.7766720606197566,fasttext
26,87,8,0.7766720606197566,fasttext
55,102,16,0.7766720606197566,fasttext
18,127,4,0.7754219867303539,fasttext
42,75,8,0.7766720606197566,fasttext
71,28,16,0.7766720606197566,fasttext
158,53,8,0.7766720606197566,fasttext
36,10,16,0.7766720606197566,fasttext
61,143,16,0.7766720606197566,fasttext
5,57,16,0.7766720606197566,fasttext
45,21,16,0.7766720606197566,fasttext
39,5,16,0.7043155455685104,fasttext
127,84,8,0.7766720606197566,fasttext
30,41,2,0.7765273283031227,fasttext
22,27,16,0.7766720606197566,fasttext
55,15,8,0.7766720606197566,fasttext
118,48,16,0.7766720606197566,fasttext
67,69,8,0.7766720606197566,fasttext
135,61,8,0.7766720606197566,fasttext
103,80,8,0.7766720606197566,fasttext
118,96,8,0.7766720606197566,fasttext
139,33,4,0.7754219867303539,fasttext
108,90,16,0.7766720606197566,fasttext
148,75,8,0.7766720606197566,fasttext
125,105,16,0.7766720606197566,fasttext
94,53,8,0.7766720606197566,fasttext
83,68,16,0.7766720606197566,fasttext
77,113,16,0.7766720606197566,fasttext
49,45,16,0.7766720606197566,fasttext
130,107,16,0.7766720606197566,fasttext
10,36,16,0.7766720606197566,fasttext
75,116,8,0.7766720606197566,fasttext
90,101,2,0.7765273283031227,fasttext
