perplexity,MinPts,probability,umap_n_components,NMI,embedding
12,13,0.9970589437727845,16,0.702303093246767,word2vec
10,13,0.9970663894548737,16,0.6811934782409058,word2vec
13,14,0.9970609432623859,16,0.6001253790884348,word2vec
11,5,0.997075307452872,16,0.43167168864742816,word2vec
9,13,0.997069285707054,16,0.6613020790445733,word2vec
15,11,0.9970575711949892,16,0.6183615001914012,word2vec
12,12,0.9970512084860763,16,0.7034436157526841,word2vec
8,12,0.9970506601878607,16,0.6485738321816893,word2vec
11,15,0.9970538907614389,16,0.6855776209540518,word2vec
12,14,0.997063190197835,16,0.6997496766135916,word2vec
13,9,0.9970521362507395,16,0.6157398813981507,word2vec
9,16,0.997056163347702,16,0.5995091328227057,word2vec
6,15,0.997061275768592,16,0.4495036735697877,word2vec
14,12,0.9970655070442181,16,0.6066193998774432,word2vec
10,6,0.9970710502728423,8,0.5743668931686496,word2vec
12,13,0.9970591674279083,4,0.5911841787507295,word2vec
4,7,0.9970457736933297,16,0.489781247783526,word2vec
11,11,0.9970507532393413,2,0.558642043541547,word2vec
12,13,0.9970634333057407,16,0.702303093246767,word2vec
15,13,0.997067533435527,16,0.6064527737237547,word2vec
13,14,0.9970637635318881,16,0.6001253790884348,word2vec
10,10,0.9970606073270043,16,0.6960982055455259,word2vec
12,12,0.9970555210500543,16,0.7034436157526841,word2vec
7,12,0.9970542315639052,16,0.6029600324782208,word2vec
11,9,0.9970573080011058,16,0.6025932726506815,word2vec
14,5,0.9970530652536863,16,0.42472990144697725,word2vec
9,11,0.9970556793498255,16,0.6662887160658358,word2vec
12,14,0.9970588362194469,16,0.6997496766135916,word2vec
12,13,0.9970619417308145,16,0.702303093246767,word2vec
13,12,0.9970636650513437,16,0.6009695693251557,word2vec
13,13,0.997068661585617,16,0.6009695693251557,word2vec
16,13,0.9970659024948921,16,0.6165456972788573,word2vec
11,14,0.9970708908605921,16,0.6872513929832308,word2vec
10,10,0.9970744097581513,16,0.6960982055455259,word2vec
12,16,0.9970593636358772,16,0.69822740888005,word2vec
14,3,0.9970569574137453,16,0.42472990144697725,word2vec
8,10,0.9970623435404582,8,0.646241305256016,word2vec
11,6,0.997049175347452,4,0.6101259198646893,word2vec
12,15,0.9970600725791618,16,0.6997496766135916,word2vec
10,14,0.997064884052836,16,0.6682945056936533,word2vec
9,15,0.9970623454722434,16,0.6114703371794388,word2vec
13,12,0.9970552159453867,16,0.6009695693251557,word2vec
12,13,0.9970669904380752,16,0.702303093246767,word2vec
7,30,0.9970681597385999,16,0.0,word2vec
12,13,0.9970718016326585,16,0.702303093246767,word2vec
11,11,0.9970734866725597,2,0.558642043541547,word2vec
13,12,0.9970711130230581,16,0.6009695693251557,word2vec
9,12,0.9970766661866473,16,0.6650226704008836,word2vec
12,13,0.9970664238259024,16,0.702303093246767,word2vec
12,13,0.9970673877322588,16,0.702303093246767,word2vec
11,13,0.9970674137308725,16,0.6928422541935633,word2vec
14,13,0.9970703158026908,16,0.6066193998774432,word2vec
10,11,0.997065906046445,16,0.6950054024322302,word2vec
12,13,0.9970728837466204,16,0.702303093246767,word2vec
13,12,0.9970674360894861,16,0.6009695693251557,word2vec
14,7,0.9970692606047585,16,0.41516899991117195,word2vec
11,4,0.9970794278871346,16,0.4325095711381596,word2vec
12,8,0.9970648847008682,16,0.6157398813981507,word2vec
12,13,0.9970745798824711,16,0.702303093246767,word2vec
15,11,0.9970755421060205,16,0.6183615001914012,word2vec
10,13,0.9970714847815996,16,0.6811934782409058,word2vec
13,14,0.9970780328025503,16,0.6001253790884348,word2vec
11,13,0.9970737931004876,16,0.6928422541935633,word2vec
12,12,0.9970724172464885,16,0.7034436157526841,word2vec
13,12,0.9970638714782138,16,0.6009695693251557,word2vec
11,14,0.9970693863221077,8,0.6801342131596019,word2vec
12,5,0.9970667190883411,4,0.6170734961019791,word2vec
8,9,0.9970720236797317,16,0.6706009557398105,word2vec
12,13,0.9970732050251263,16,0.702303093246767,word2vec
10,12,0.9970720802521177,16,0.6829237737467635,word2vec
12,15,0.9970765567167835,16,0.6997496766135916,word2vec
14,11,0.9970692017160373,16,0.6185143004527863,word2vec
12,13,0.9970631724073907,16,0.702303093246767,word2vec
13,12,0.9970659423791222,16,0.6009695693251557,word2vec
11,14,0.9970532681542552,2,0.5416153492466169,word2vec
9,11,0.9970817945311623,16,0.6662887160658358,word2vec
10,13,0.9970608659542648,16,0.6811934782409058,word2vec
24,6,0.9970577944455666,16,0.4250175972286361,word2vec
12,13,0.9970736465249653,16,0.702303093246767,word2vec
12,12,0.997077567991902,16,0.7034436157526841,word2vec
13,12,0.9970755411273713,16,0.6009695693251557,word2vec
11,11,0.9970779233425056,16,0.6993697084007682,word2vec
12,14,0.9970700694395557,16,0.6997496766135916,word2vec
13,10,0.9970670073432529,16,0.6157398813981507,word2vec
11,12,0.9970717598414918,16,0.6934458474951091,word2vec
13,13,0.9970642216734005,16,0.6009695693251557,word2vec
12,12,0.9970690403340058,16,0.7034436157526841,word2vec
14,12,0.9970686628247047,16,0.6066193998774432,word2vec
12,14,0.997075517253107,16,0.6997496766135916,word2vec
12,13,0.9970659221115792,16,0.702303093246767,word2vec
11,12,0.9970708816316982,16,0.6934458474951091,word2vec
10,7,0.9970680618228641,16,0.6093903111974258,word2vec
11,11,0.9970624449561074,16,0.6993697084007682,word2vec
13,13,0.9970583384698077,16,0.6009695693251557,word2vec
12,14,0.9970735773348124,16,0.6997496766135916,word2vec
9,5,0.9970504533563114,16,0.632931305964074,word2vec
1,10,0.9970605013776562,8,0.0,word2vec
14,12,0.9970638143555787,16,0.6066193998774432,word2vec
12,13,0.9970760353510815,16,0.702303093246767,word2vec
13,13,0.9970725755107543,16,0.6009695693251557,word2vec
12,22,0.9970804666853148,16,0.6414368665648841,word2vec
11,15,0.9970740978708025,16,0.6855776209540518,word2vec
12,14,0.9970780561210102,4,0.5919318532354867,word2vec
13,12,0.9970703127185566,16,0.6009695693251557,word2vec
11,1,0.9970747992713317,16,0.4388150359713225,word2vec
10,6,0.9970556126304664,16,0.6101749682747043,word2vec
12,13,0.9970682154696647,2,0.5575691212193636,word2vec
12,14,0.9970648145048272,16,0.6997496766135916,word2vec
12,13,0.9970725328405325,16,0.702303093246767,word2vec
11,13,0.9970775365991207,16,0.6928422541935633,word2vec
13,12,0.9970700048524228,16,0.6009695693251557,word2vec
12,13,0.9970723489321018,16,0.702303093246767,word2vec
11,12,0.9970751679060895,16,0.6934458474951091,word2vec
13,11,0.9970848786126806,16,0.6157398813981507,word2vec
19,14,0.9970522598154764,16,0.41773827355926624,word2vec
10,11,0.9970669301340843,16,0.6950054024322302,word2vec
12,13,0.9970798591644074,16,0.702303093246767,word2vec
27,8,0.9970260811725845,16,0.4216016921903888,tfidf
5,5,0.9970335802656703,2,0.5169982810046474,tfidf
26,14,0.9970765048930078,16,0.4216016921903888,tfidf
13,1,0.9970459826197258,16,0.42190172143416804,tfidf
5,30,0.9970089394349105,2,0.0,tfidf
19,24,0.9970031061166725,8,0.5507303559587343,tfidf
2,22,0.9970775502653316,8,0.0,tfidf
8,6,0.9970080080634177,2,0.39067979386758683,tfidf
2,6,0.9970748469683786,16,0.15663657529486683,tfidf
11,17,0.9970015800685601,2,0.49082738930092334,tfidf
20,30,0.9970962305594526,8,0.6167686950155822,tfidf
20,29,0.9970996818518784,8,0.6189011201288402,tfidf
20,30,0.997097746985526,8,0.6167686950155822,tfidf
22,24,0.9970992737536598,4,0.4060477101061371,tfidf
16,27,0.9970866723579562,8,0.5954435033669265,tfidf
30,20,0.9970624876683413,8,0.4039575104490361,tfidf
23,27,0.9970985008710994,4,0.40603817600842734,tfidf
16,13,0.9970871171792647,8,0.41067386751918816,tfidf
18,27,0.9970630581895721,8,0.6145773748681442,tfidf
24,19,0.997088098196091,8,0.41062194037670574,tfidf
13,30,0.9970643288564686,4,0.4815760749220966,tfidf
21,30,0.997098246725125,8,0.6265772196789234,tfidf
20,25,0.9970908766709097,8,0.6177565248543007,tfidf
26,25,0.9970895620754244,8,0.41019754584852275,tfidf
22,27,0.9970922613338971,8,0.6279855268045191,tfidf
23,27,0.9970836037178331,8,0.5612683921111032,tfidf
30,22,0.9970986652659605,8,0.4039575104490361,tfidf
17,11,0.997080641080334,8,0.41204138240258903,tfidf
21,28,0.9970925785807596,4,0.5031299996944809,tfidf
25,22,0.9970824156483956,16,0.4037940732313155,tfidf
28,17,0.9970914158632108,8,0.4039575104490361,tfidf
14,25,0.9970919836700215,8,0.5453181884703276,tfidf
21,28,0.9970927393328496,8,0.6265772196789234,tfidf
22,28,0.9970999386066199,8,0.6274486454146095,tfidf
28,28,0.9970727956421438,8,0.41058661187473117,tfidf
22,26,0.9970836226291514,2,0.403122867381916,tfidf
25,23,0.9970921517751443,16,0.4037940732313155,tfidf
18,28,0.9970705724846232,8,0.6145773748681442,tfidf
27,1,0.9970796183075026,8,0.43839051339883617,tfidf
22,29,0.9970947947339316,2,0.403122867381916,tfidf
18,19,0.9970434366338681,16,0.5614459064264969,tfidf
21,29,0.9970991854963196,8,0.6265772196789234,tfidf
24,26,0.9970946381249745,8,0.4104816754350077,tfidf
21,29,0.9970864050050341,8,0.6265772196789234,tfidf
24,30,0.9970951508792785,8,0.6245067851707288,tfidf
14,24,0.997099922011503,8,0.5515163733889348,tfidf
19,26,0.9970773737419311,2,0.6220394539710148,tfidf
9,9,0.9970867292637251,8,0.586185514852144,tfidf
21,29,0.9970951269111584,8,0.6265772196789234,tfidf
19,21,0.9970997742989497,4,0.6270655206271468,tfidf
17,21,0.9970890292538324,4,0.6308486658421495,tfidf
19,20,0.9970893929014643,4,0.5020492188986102,tfidf
15,15,0.9970959334682534,4,0.5986351299512146,tfidf
16,21,0.9970834500025735,4,0.617576202494954,tfidf
17,17,0.997094039060049,4,0.40477565633555707,tfidf
23,23,0.99709993681763,4,0.4060477101061371,tfidf
12,24,0.9970884947577637,4,0.5148651867184485,tfidf
19,13,0.9970857211383277,4,0.40641715895674047,tfidf
17,27,0.9970898879542428,4,0.600036182967066,tfidf
5,23,0.9970962617039445,4,0.0,tfidf
20,28,0.9970785149094737,16,0.6202717961829569,tfidf
21,30,0.9970994313032564,8,0.6265772196789234,tfidf
22,26,0.9970963142917493,8,0.5633401218905707,tfidf
19,29,0.9970918870323512,8,0.6157739746371177,tfidf
23,28,0.99709727746168,8,0.6251451725811659,tfidf
20,25,0.9970920287721825,2,0.4027820554707107,tfidf
25,18,0.9970876806300129,8,0.41062194037670574,tfidf
18,30,0.9970931753442521,4,0.6418003247386873,tfidf
18,30,0.9970824200688899,4,0.6418003247386873,tfidf
15,30,0.9970810743723846,4,0.549189159195635,tfidf
18,21,0.9970842973766223,4,0.6204228909469776,tfidf
17,27,0.9970898586808192,4,0.600036182967066,tfidf
20,27,0.9970929996330763,4,0.6244785287509595,tfidf
18,30,0.9970974076205148,4,0.6418003247386873,tfidf
16,30,0.9970964902600823,4,0.5869624975426101,tfidf
18,29,0.997088815211207,4,0.6034011996671187,tfidf
14,30,0.9970970149693233,4,0.5151678296456601,tfidf
17,28,0.9970939850476314,4,0.5828839158915549,tfidf
19,4,0.9970853435725857,4,0.40735264436704777,tfidf
22,26,0.9970815443836751,4,0.40643670074450877,tfidf
18,29,0.9970908041152035,4,0.6034011996671187,tfidf
21,28,0.9970938625357725,4,0.5031299996944809,tfidf
20,25,0.9970966767413564,16,0.563417757674123,tfidf
23,30,0.9970999808630788,2,0.403122867381916,tfidf
19,28,0.9970925211348711,4,0.6300772471271763,tfidf
16,27,0.997087383297271,4,0.6066298605789103,tfidf
19,29,0.997097855988374,4,0.6281115693520816,tfidf
15,29,0.9970909316368604,4,0.5633255778689651,tfidf
19,28,0.9970935768422845,4,0.6300772471271763,tfidf
17,28,0.9970839540495933,4,0.5835835845930571,tfidf
