bandwidth,umap_n_components,NMI,embedding
0.8742859765237808,16,0.7330818218137439,BERT
0.853828856401812,16,0.7284000910843782,BERT
0.8606309627190439,16,0.7336328062168522,BERT
0.90990507932892,16,0.7332640805085437,BERT
0.8412486324134392,16,0.7118393492365517,BERT
0.8771935803191456,4,0.7317906483754324,BERT
0.8587488623771209,16,0.7336328062168522,BERT
0.8273937061863306,16,0.7086629773981669,BERT
0.8940274277870058,16,0.7332434148432804,BERT
0.858506259632184,2,0.6963319406292949,BERT
0.8091015370359099,16,0.699014093877697,BERT
0.8559853788153572,16,0.7285685738249319,BERT
0.8771982904790384,16,0.7330605846849957,BERT
0.8417132866464538,16,0.7117887186587062,BERT
0.8644525820410925,16,0.7332855214944972,BERT
0.8938759668341344,16,0.7332434148432804,BERT
0.8275613397283105,8,0.6966996471099727,BERT
0.8480271059112559,16,0.7294705366192207,BERT
0.8798005593504418,16,0.7332640805085437,BERT
0.6629934058815694,16,0.6725702101742155,BERT
0.8657311143144726,16,0.7332855214944972,BERT
0.8570778559835165,16,0.7285685738249319,BERT
0.6292393083175646,16,0.6539418589249874,BERT
0.8394515554543368,16,0.716204774010449,BERT
0.8758023698560486,16,0.7330605846849957,BERT
0.7300193877411009,16,0.6749421703710439,BERT
0.8943130860519497,16,0.7332434148432804,BERT
0.8234395023157365,16,0.6839285391137422,BERT
0.8602665930488601,16,0.7336328062168522,BERT
0.8493726828233205,16,0.7284000910843782,BERT
0.5219096271197987,2,0.5818463048665542,word2vec
0.02640543360231671,16,0.3517675262129365,word2vec
0.7214246045193485,8,0.6469993210362225,word2vec
0.04826733024250254,16,0.36254627147381063,word2vec
0.5393758886044513,4,0.5688501071248213,word2vec
0.516684952480964,4,0.5615326115768698,word2vec
0.7229948660544121,2,0.6277137515756873,word2vec
0.22527302117343834,2,0.4657344809962997,word2vec
0.24024274018568242,16,0.4565791349052158,word2vec
0.5968357952728567,16,0.5957960381533166,word2vec
0.907319504380033,8,0.7121081200382423,word2vec
0.9075687105870471,8,0.7121081200382423,word2vec
0.8875595568417826,8,0.6905999721583215,word2vec
0.8955811091291038,8,0.713169413115584,word2vec
0.7973374025794596,8,0.6862271989030059,word2vec
0.9049263643542252,8,0.7122923928333081,word2vec
0.67048007471723,8,0.6394733881543548,word2vec
0.7768306262603881,8,0.6820980948188609,word2vec
0.8088834334472053,8,0.686577827793478,word2vec
0.666434339827896,4,0.6293744183636517,word2vec
0.8129780288382972,8,0.6865393936934562,word2vec
0.8905805363541753,8,0.7134163253063953,word2vec
0.8497833214544259,8,0.6775232178049183,word2vec
0.9015354458817653,8,0.7139866424674631,word2vec
0.8288338990581157,8,0.6829072020044604,word2vec
